company,title,label,probability
Tesla,"Tesla, Volvo Car pause output as Red Sea shipping crisis deepens",social,0.4234536588191986
Tesla,"Tesla, Volvo Car pause output as Red Sea shipping crisis deepens",social,0.4234536588191986
Tesla,Review Of 2024 Tesla Model 3 Highland,social,0.31125110387802124
Tesla,Exclusive: Tesla scraps low-cost car plans amid fierce Chinese EV competition,government,0.3537295460700989
Tesla,Tesla blamed drivers for failures of parts it long knew were defective,social,0.5608642101287842
Tesla,Tesla recalls nearly all vehicles on US roads over lack of Autopilot safeguards,government,0.34197112917900085
Tesla,Tesla releases refreshed Model 3 with longer driving range in China,environment,0.34424352645874023
Tesla,Tesla promises 'more affordable' cars after shelving all-new Model 2,social,0.30003130435943604
Tesla,Focus: Tesla braces for its first trial involving Autopilot fatality,social,0.42019492387771606
Tesla,Tesla reinvents carmaking with quiet breakthrough,neutral,0.9042271375656128
Tesla,"Tesla delivers record Q4 cars, but China's BYD steals top EV spot",government,0.34914496541023254
Tesla,"Tesla CEO Musk raises alarm on interest rates, hesitates on Mexico factory",government,0.5425689816474915
Tesla,Wall Street wants answers from Elon Musk on Tesla's Model 2 car,social,0.6804705858230591
Tesla,"Tesla cuts prices in China, Germany and around globe after US cuts",government,0.3073112666606903
Tesla,Tesla quarterly deliveries decline for the first time in nearly four years,environment,0.3222385048866272
Tesla,"Tesla to build 25,000-euro car in Germany - source",social,0.35970693826675415
Tesla,Tesla's once-stellar reputation is running out of juice,social,0.4907008707523346
Tesla,Tesla erases $80 bln in valuation after Musk's sales warning,government,0.34779512882232666
Tesla,"Scoop: Inside Tesla's decision to build a $25,000 ""global car""",environment,0.43947505950927734
Tesla,Tesla warns of slowing growth before new model launch next year,environment,0.3387831151485443
Tesla,Tesla's plan for affordable cars takes page from Detroit rivals,social,0.3058418333530426
Tesla,"Exclusive: Tesla doing damage-control, discounts for European fleet buyers",social,0.4416605234146118
Tesla,Tesla laying off more than 10% of staff globally as sales fall,social,0.5106425285339355
Tesla,Exclusive: Tesla plans to build new electric vehicles in mid-2025,environment,0.361811101436615
Tesla,Tesla faces California class action on its EV range claims,government,0.3955715596675873
Tesla,Tesla's self-driving bid for China faces rivals racing ahead,social,0.4057617485523224
Tesla,US seeks answers from Tesla in Autopilot recall probe,government,0.6479190587997437
Tesla,"Tesla slashes Model Y production in Shanghai, data shows",government,0.32746729254722595
Tesla,Exclusive: Tesla retreats from next-generation ‘gigacasting’ manufacturing process,environment,0.3708021938800812
Tesla,Tesla must face vehicle owners' lawsuit over self-driving claims,social,0.5150265693664551
Tesla,"Tesla cuts US prices of Models Y, X, S by $2,000",social,0.3169776201248169
Tesla,US Justice Department issues subpoenas to Tesla in ongoing probes,government,0.9230642914772034
Tesla,"Exclusive: In Tesla Autopilot probe, US prosecutors focus on securities, wire fraud",government,0.6759942173957825
Tesla,Tesla wins first US Autopilot trial involving fatal crash,government,0.5741403102874756
Tesla,"6 reasons why Tesla is failing, and they all have to do with design",neutral,0.40243294835090637
Tesla,Tesla cars for first time on Chinese government purchase list,government,0.7922466397285461
Tesla,Tesla deliveries set to fall for second straight quarter,environment,0.35051229596138
Tesla,Next Autopilot trial to test Tesla's blame-the-driver defense,social,0.477457195520401
Tesla,Elon Musk visits China as Tesla seeks self-driving technology rollout,social,0.45968568325042725
Tesla,Tesla CEO Musk: Chinese EV firms will 'demolish' rivals without trade barriers,social,0.33537551760673523
Tesla,Would-be Tesla buyers snub company as Musk's reputation dips,social,0.6581190228462219
Tesla,"ARK’s Expected Value For Tesla In 2029: $2,600 Per Share",social,0.42104607820510864
Tesla,"Judge finds evidence that Tesla, Musk knew about Autopilot defect",government,0.48790180683135986
Apple,"I Can't Stop Thinking About How Awkward Apple's 'Mother Nature' Ad Was, and I Finally Figured Out Why",environment,0.742599606513977
Apple,Exclusive: Apple to pause advertising on X after Musk backs antisemitic post,social,0.7523693442344666
Apple,I Will Never Hire Anyone Again Without Asking Apple's Genius Interview Question,social,0.42941632866859436
Apple,"Apple charged with breaching EU tech rules, faces another probe",government,0.6925452947616577
Microsoft,Press Release & Webcast,government,0.4011874794960022
Microsoft,Press Release & Webcast,government,0.4011874794960022
Amazon,My 45 Top Remaining Memorial Day Amazon Sales,social,0.6470687389373779
Amazon,"Amazon to lay off several hundred staff in Prime Video, Studios",social,0.5577901005744934
Google,"Google lays off hundreds in Assistant, hardware, engineering teams",social,0.43765562772750854
Google,Google agrees to invest up to $2 billion in OpenAI rival Anthropic,social,0.39723464846611023
Google,4 Lessons Businesses Can Learn From Google's Evolution,environment,0.3571535348892212
Google,Google to defend generative AI users from copyright claims,social,0.48380690813064575
Meta,Exclusive: Meta to lay off employees in metaverse silicon unit on Wednesday,social,0.496455579996109
Meta,"Sorry, VR: The Meta Ray-Ban Wayfarers Are the Best Face Computer",social,0.40385377407073975
Meta,"AI ‘Agent’ Startup Adept Has Talked to Potential Buyers, Including Meta",social,0.7290706038475037
Meta,Meta Sued By 33 States Over ‘Substantial Dangers’ For Kids On Instagram And Facebook,social,0.8194501399993896
Meta,Meta's new AI assistant trained on public Facebook and Instagram posts,social,0.9671361446380615
Meta,US judge trims AI copyright lawsuit against Meta,government,0.41691452264785767
Meta,"Meta's Instagram, Facebook to charge EU users for ad-free service - sources",social,0.7789950370788574
Meta,Meta bars political advertisers from using generative AI ads tools,neutral,0.5825303196907043
Meta,Facebook parent Meta sees strong global ad sales while keeping AI costs in check,social,0.9216260313987732
Meta,"Meta's Instagram linked to depression, anxiety, insomnia in kids - US states' lawsuit",social,0.8387601375579834
Meta,"Meta’s plan to fight AI-generated misinformation and deepfakes is too little, too late",neutral,0.39965078234672546
Meta,Meta joins other tech giants in quest for artificial general intelligence,social,0.5008260011672974
